cleanup_id,zone,state,country,gps,cleanup_type,cleanup_date,group_name,adults,children,people,pounds,number_of_bags,cigarette_butts,food_wrappers_candy_chips_etc,take_out_away_containers_plastic,take_out_away_containers_foam,bottle_caps_plastic,bottle_caps_metal,lids_plastic,straws_stirrers,forks_knives_spoons,beverage_bottles_plastic,beverage_bottles_glass,beverage_cans,grocery_bags_plastic,other_plastic_bags,paper_bags,cups_plates_paper,cups_plates_plastic,cups_plates_foam,fishing_buoys_pots_traps,fishing_net_pieces,fishing_line_1_yard_meter_1_piece,rope_1_yard_meter_1_piece,x6_pack_holders,other_plastic_foam_packaging,other_plastic_bottles_oil_bleach_etc,strapping_bands,tobacco_packaging_wrap,beverages_sachets,appliances_refrigerators_washers_etc,balloons,cigar_tips,cigarette_lighters,construction_materials,fireworks,tires,toys,e_cigarettes,other_tobacco_packaging_lighter_etc,condoms,diapers,syringes,tampons_tampon_applicators,gloves_masks_ppe,foam_dock_pieces,electronic_waste_phones_batteries,cotton_bud_sticks_swabs,clothing_shoes
23340,"Humboldt County, CA, USA","California, USA",United States,"40.85827, -124.09124",beach,2017-09-16,The Free Radicals,8,0,8,23.09,NA,47,41,NA,1,NA,NA,1,1,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22796,"Humboldt County, CA, USA","California, USA",United States,"41.03979, -124.12012",beach,2017-09-16,Trinidad Coastal Land Trust,1,0,1,6.56,NA,60,19,7,3,3,NA,NA,1,1,3,6,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23686,"Humboldt County, CA, USA","California, USA",United States,"41.061626235437, -124.14990227669",beach,2017-09-16,USCG HB,15,2,17,450,25,775,285,40,60,80,75,60,55,80,90,80,65,55,45,40,45,30,30,NA,NA,16,15,2,30,5,15,55,NA,NA,NA,32,12,50,5,1,NA,NA,NA,1,7,NA,3,NA,NA,NA,NA,NA
22933,"Humboldt County, CA, USA","California, USA",United States,"40.8055, -124.20004",beach,2017-09-16,NA,13,0,13,58.16,NA,46,12,1,2,8,NA,NA,2,NA,2,8,2,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23232,"Humboldt County, CA, USA","California, USA",United States,"40.8055, -124.20004",beach,2017-09-16,NA,13,0,13,58.16,NA,46,12,1,2,8,NA,NA,2,NA,2,8,2,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23478,"Humboldt County, CA, USA","California, USA",United States,"40.28434, -124.36067",beach,2017-09-16,NA,1,0,1,1.45,NA,2,1,NA,NA,1,NA,2,8,1,4,NA,12,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23328,"Humboldt County, CA, USA","California, USA",United States,"40.85895, -124.168",beach,2017-09-16,NA,1,0,1,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28134,"Inyo County, CA, USA","California, USA",United States,"37.365996118518, -118.42268228531",beach,2017-09-16,Great Sierra River Cleanup,40,0,40,580,51,420,243,86,40,119,161,49,54,58,110,174,294,44,65,91,78,49,17,8,3,21,2,2,55,21,25,38,NA,2,4,20,11,28,1,2,NA,NA,NA,1,9,8,10,NA,NA,NA,NA,NA
34459,"Kern County, CA, USA","California, USA",United States,"35.343679502292, -118.97369385813",beach,2017-09-16,CA Coastal Cleanup Day - Kern Co. difference,1,0,1,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27199,"Kern County, CA, USA","California, USA",United States,"35.588041443808, -118.43875274062",beach,2017-09-16,Keeper of the Kern,18,0,18,500,71,200,50,20,15,300,200,25,100,25,100,20,100,100,NA,NA,100,75,25,NA,NA,NA,NA,NA,10,12,NA,25,NA,3,20,NA,4,50,NA,6,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA
25547,"Lake County, CA, USA","California, USA",United States,"38.986740306653, -122.6953125",beach,2017-09-16,Coastwalk California - Portuguese Beach,30,7,37,86.5,8,132,81,2,4,12,23,2,17,3,11,17,35,11,6,15,11,2,2,3,3,17,1,6,1,NA,NA,NA,NA,NA,1,2,NA,27,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA
25546,"Lake County, CA, USA","California, USA",United States,"38.986740306653, -122.6953125",beach,2017-09-16,Coastwalk California - Shell Beach,8,10,18,70,NA,95,30,11,3,6,26,4,5,2,35,20,35,NA,NA,NA,2,NA,2,NA,5,5,18,3,5,NA,2,7,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27367,"Lassen County, CA, USA","California, USA",United States,"40.413283661048, -120.65093278885",beach,2017-09-16,Great Sierra River Cleanup,23,3,26,3000,30,100,NA,NA,NA,NA,NA,3,NA,18,12,NA,38,NA,27,NA,NA,NA,NA,NA,NA,NA,6,NA,1,12,NA,3,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27369,"Lassen County, CA, USA","California, USA",United States,"40.413283661048, -120.65093278885",beach,2017-09-16,Great Sierra River Cleanup,23,3,26,3000,30,100,NA,NA,NA,NA,NA,3,NA,18,12,NA,38,NA,27,NA,NA,NA,NA,NA,NA,NA,6,NA,1,12,NA,3,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26648,"Lassen County, CA, USA","California, USA",United States,"40.371217497726, -121.00292101095",beach,2017-09-16,Great Sierra River Cleanup,18,0,18,2163,59,202,247,30,54,25,32,38,19,31,58,21,62,24,61,8,48,47,22,NA,NA,NA,NA,3,17,20,5,16,NA,4,1,1,4,93,NA,24,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
22500,"Los Angeles County, CA, USA","California, USA",United States,"34.03608, -118.5365",beach,2017-09-16,2,4,0,4,4.08,NA,2,1,NA,NA,1,NA,2,1,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22776,"Los Angeles County, CA, USA","California, USA",United States,"34.03557, -118.53678",beach,2017-09-16,4,1,0,1,3.06,NA,2,1,1,11,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22899,"Los Angeles County, CA, USA","California, USA",United States,"33.96157, -118.45264",beach,2017-09-16,BG,3,0,3,4.3,NA,16,3,NA,NA,14,NA,1,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23143,"Los Angeles County, CA, USA","California, USA",United States,"33.9223, -118.43112",beach,2017-09-16,Los Angeles Waterkeeper,2,0,2,0.63,NA,3,7,NA,NA,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22858,"Los Angeles County, CA, USA","California, USA",NA,"33.78039, -118.30175",beach,2017-09-16,2014 Pipers,4,0,4,9,NA,NA,8,NA,1,11,NA,3,13,NA,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22897,"Los Angeles County, CA, USA","California, USA",NA,"33.70918, -118.28562",beach,2017-09-16,Alliance Alice M. Baxter College-Ready Highschool,3,0,3,2.03,NA,52,15,1,NA,30,NA,2,NA,1,2,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23042,"Los Angeles County, CA, USA","California, USA",United States,"33.96168, -118.45477",beach,2017-09-16,Anton & Devin,2,0,2,6.18,NA,25,7,NA,1,4,NA,1,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23145,"Los Angeles County, CA, USA","California, USA",United States,"33.96737, -118.45321",beach,2017-09-16,Beach 101,3,0,3,18.67,NA,52,6,7,1,33,NA,1,13,4,5,3,4,26,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22686,"Los Angeles County, CA, USA","California, USA",United States,"34.00978, -118.49777",beach,2017-09-16,Boy Scout Pack 911,1,0,1,5.46,NA,77,36,9,5,NA,NA,8,4,3,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22889,"Los Angeles County, CA, USA","California, USA",United States,"34.03578, -118.53773",beach,2017-09-16,BPEC,2,0,2,0.95,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22830,"Los Angeles County, CA, USA","California, USA",United States,"34.03046, -118.52475",beach,2017-09-16,Campbell Hall,2,0,2,17.1,NA,68,45,2,NA,4,NA,NA,3,NA,NA,12,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22875,"Los Angeles County, CA, USA","California, USA",United States,"34.03609, -118.53844",beach,2017-09-16,Campbell Hall,1,0,1,10.33,NA,87,30,2,6,21,NA,2,1,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22669,"Los Angeles County, CA, USA","California, USA",United States,"34.03654, -118.5378",beach,2017-09-16,campbell hall,2,0,2,3.08,NA,12,18,NA,NA,2,NA,1,1,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22782,"Los Angeles County, CA, USA","California, USA",United States,"34.02802, -118.52199",beach,2017-09-16,campbell hall,1,0,1,2.29,NA,10,20,5,NA,4,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22760,"Los Angeles County, CA, USA","California, USA",NA,"33.71246, -118.28414",beach,2017-09-16,Corrals,1,0,1,4.46,NA,8,13,6,1,18,NA,2,7,5,1,NA,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22737,"Los Angeles County, CA, USA","California, USA",NA,"33.70981, -118.28475",beach,2017-09-16,Corrals,3,0,3,1.8,NA,6,18,4,1,15,NA,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22932,"Los Angeles County, CA, USA","California, USA",United States,"34.03653, -118.53915",beach,2017-09-16,Da ocean,2,0,2,1.66,NA,2,NA,NA,1,3,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23008,"Los Angeles County, CA, USA","California, USA",United States,"33.88538, -118.40978",beach,2017-09-16,Deluxe,11,0,11,3.29,NA,84,23,NA,NA,42,NA,NA,4,2,3,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26042,"Los Angeles County, CA, USA","California, USA",United States,"33.91238045164, -118.42742443085",beach,2017-09-16,Dockweiler South - Heal the Bay,144,0,144,1080,NA,301,355,45,129,389,74,71,97,24,32,13,16,14,44,65,69,29,59,2,43,17,5,2,79,5,39,9,NA,1,20,44,3,9,4,5,2,NA,NA,4,1,NA,3,NA,NA,NA,NA,NA
25447,"Los Angeles County, CA, USA","California, USA",United States,"33.763664861194, -118.17306518555",beach,2017-09-16,El Dorado nature center,88,0,88,923.5,92,651,422,29,179,1487,197,115,475,52,81,52,39,84,270,47,55,70,132,44,45,122,20,34,164,7,22,13,NA,23,20,124,22,23,1,3,1,NA,NA,15,4,14,5,NA,NA,NA,NA,NA
25448,"Los Angeles County, CA, USA","California, USA",United States,"33.748036859343, -118.12251091003",beach,2017-09-16,El Dorado nature center,14,5,19,100,11,54,83,10,10,247,18,18,61,14,45,29,12,47,39,26,30,33,19,1,1,19,2,6,51,31,2,1,NA,NA,5,13,22,6,NA,1,NA,NA,NA,1,1,9,3,NA,NA,NA,NA,NA
22764,"Los Angeles County, CA, USA","California, USA",United States,"34.03589, -118.53755",beach,2017-09-16,Farmers Insurance,2,0,2,5.33,NA,7,7,5,NA,15,NA,1,NA,NA,7,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22505,"Los Angeles County, CA, USA","California, USA",United States,"33.8915, -118.41665",beach,2017-09-16,Girard,1,0,1,3.9,NA,10,17,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22692,"Los Angeles County, CA, USA","California, USA",United States,"34.03606, -118.53671",beach,2017-09-16,Heal the bay,3,0,3,12.36,NA,61,30,NA,NA,9,NA,NA,3,1,20,1,12,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23188,"Los Angeles County, CA, USA","California, USA",United States,"34.15194, -118.16575",beach,2017-09-16,Heal the Bay,1,0,1,7,NA,50,25,1,NA,15,NA,3,5,3,4,6,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25810,"Los Angeles County, CA, USA","California, USA",United States,"33.741542194314, -118.37911248207",beach,2017-09-16,Heal the Bay - Abalone Cove,99,4,103,560,72,117,188,17,10,486,79,76,268,44,82,44,20,19,51,41,14,29,27,5,15,32,25,4,139,7,33,14,NA,1,13,21,12,49,NA,1,NA,NA,NA,5,3,NA,3,NA,NA,NA,NA,NA
25966,"Los Angeles County, CA, USA","California, USA",United States,"33.967210037125, -118.44411849976",beach,2017-09-16,Heal the Bay - Ballona Wetlands,17,0,17,108,16,85,85,5,321,81,13,25,155,16,11,5,4,12,82,4,5,28,38,7,2,28,4,NA,38,NA,27,2,NA,NA,6,2,4,1,NA,1,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA
25970,"Los Angeles County, CA, USA","California, USA",United States,"33.708704494227, -118.28095436096",beach,2017-09-16,Heal the Bay - Cabrillo Beach,33,3,36,159,23,425,246,5,71,273,111,38,99,30,44,21,25,5,23,19,17,20,25,NA,NA,3,7,6,NA,20,NA,8,NA,10,NA,15,93,12,8,NA,NA,NA,NA,2,7,NA,2,NA,NA,NA,NA,NA
25971,"Los Angeles County, CA, USA","California, USA",United States,"34.027659614475, -118.75471830368",beach,2017-09-16,heal the Bay - Dan Blocker Beach,50,0,50,270,34,2356,297,50,25,154,158,58,115,32,105,84,58,35,53,18,38,44,10,NA,1,NA,3,4,83,9,44,14,NA,3,11,138,4,80,8,12,NA,NA,NA,9,NA,2,2,NA,NA,NA,NA,NA
25927,"Los Angeles County, CA, USA","California, USA",United States,"33.932678634949, -118.43759536743",beach,2017-09-16,Heal the Bay - Dockweiler Beach,306,73,379,1559,215,2398,1671,151,182,1200,586,130,242,119,123,129,34,66,133,146,263,128,226,7,39,13,55,59,434,11,108,36,NA,53,270,242,47,118,31,54,NA,NA,NA,10,7,10,6,NA,NA,NA,NA,NA
27037,"Los Angeles County, CA, USA","California, USA",United States,"34.0002153586, -118.48705530167",beach,2017-09-16,Heal the Bay - King harbor,4,0,4,10,1,25,6,10,NA,4,NA,NA,NA,NA,5,NA,24,6,4,10,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27141,"Los Angeles County, CA, USA","California, USA",United States,"34.024582609918, -118.76910567284",beach,2017-09-16,Heal the Bay - Malibu Surfrider,117,0,117,326,NA,959,228,20,9,133,67,37,85,27,34,36,41,10,19,24,13,18,41,7,26,2,3,1,75,4,16,3,NA,NA,6,70,7,31,NA,NA,NA,NA,NA,3,1,3,5,NA,NA,NA,NA,NA
27140,"Los Angeles County, CA, USA","California, USA",United States,"33.891097361411, -118.41657757759",beach,2017-09-16,Heal the Bay - Manhattan Beach and Bruce's Bay,15,0,15,35,NA,184,74,5,30,59,40,2,22,4,1,5,2,NA,39,11,1,NA,4,1,2,NA,1,1,1,NA,15,NA,NA,NA,2,8,NA,5,1,10,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA
27139,"Los Angeles County, CA, USA","California, USA",United States,"33.883963639109, -118.41292440891",beach,2017-09-16,Heal the Bay - Manhattan Beach Pier,114,0,114,300,NA,616,449,19,11,211,104,26,64,16,22,11,11,9,18,13,13,4,2,NA,1,NA,9,4,66,NA,16,5,NA,NA,180,51,1,68,4,2,NA,NA,NA,12,1,3,1,NA,NA,NA,NA,NA
25851,"Los Angeles County, CA, USA","California, USA",United States,"33.865141760673, -118.40446472168",beach,2017-09-16,Heal the Bay - Mermosa Beach,51,9,60,288,75,1637,782,59,55,426,266,71,248,62,68,26,22,24,70,43,24,29,37,13,30,26,10,2,57,2,46,46,NA,6,46,97,4,14,129,5,2,NA,NA,4,6,1,10,NA,NA,NA,NA,NA
26011,"Los Angeles County, CA, USA","California, USA",United States,"33.74111395736, -118.40416431427",beach,2017-09-16,heal the Bay - Pelican Cove,18,0,18,86,13,190,52,4,NA,53,33,12,32,9,25,39,19,6,21,5,3,9,5,NA,1,7,2,1,23,1,1,3,NA,10,5,19,2,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
26052,"Los Angeles County, CA, USA","California, USA",United States,"33.830604639801, -118.39081764221",beach,2017-09-16,Heal the Bay - Redondo Beach,83,16,99,362,40,981,386,22,31,178,95,55,99,20,29,25,26,17,48,22,38,12,31,2,8,NA,2,NA,77,2,40,3,NA,3,42,58,2,25,15,6,3,NA,NA,6,4,1,1,NA,NA,NA,NA,NA
26608,"Los Angeles County, CA, USA","California, USA",United States,"34.010550238313, -118.50005865097",beach,2017-09-16,Heal the Bay - Santa Monica,330,66,396,2772,104,5484,1559,110,57,1133,426,144,391,142,133,11,34,60,158,236,335,62,77,15,28,18,36,29,498,16,74,58,NA,4,54,307,94,93,12,2,4,NA,NA,32,15,4,14,NA,NA,NA,NA,NA
27857,"Los Angeles County, CA, USA","California, USA",United States,"34.012540136366, -118.49956512451",beach,2017-09-16,Heal the Bay - Santa Monica,384,0,384,1920,NA,8464,1594,133,76,1112,589,195,358,111,67,63,29,60,114,123,155,84,92,1,22,3,17,5,380,12,118,74,NA,4,44,301,22,84,7,6,3,NA,NA,12,2,9,5,NA,NA,NA,NA,NA
27035,"Los Angeles County, CA, USA","California, USA",United States,"34.0002153586, -118.48705530167",beach,2017-09-16,heal the Bay - Santa Monica,190,19,209,475,48,3366,732,52,69,608,120,186,355,45,57,19,13,81,53,53,103,44,29,3,91,12,4,4,267,17,57,25,NA,5,42,231,4,49,5,9,NA,NA,NA,4,NA,5,6,NA,NA,NA,NA,NA
26029,"Los Angeles County, CA, USA","California, USA",United States,"33.956852087694, -118.45222949982",beach,2017-09-16,heal the Bay - Toes Beach - Playa del rey,44,26,70,362,43,382,451,115,131,327,115,68,73,36,48,21,18,16,28,26,58,50,38,5,11,24,13,NA,73,10,7,2,NA,5,19,90,13,4,3,4,NA,NA,NA,5,5,NA,7,NA,NA,NA,NA,NA
26466,"Los Angeles County, CA, USA","California, USA",United States,"34.039271394283, -118.58050346375",beach,2017-09-16,Heal the Bay - Topanga,16,3,19,112,13,789,152,5,5,45,67,4,19,11,15,9,14,3,17,5,9,6,2,NA,NA,7,1,NA,9,1,9,3,NA,NA,1,1,1,8,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
26518,"Los Angeles County, CA, USA","California, USA",United States,"33.814454014625, -118.39169740677",beach,2017-09-16,Heal the Bay - Torrance Beach,154,25,179,437,118,999,768,51,23,235,92,47,146,22,38,24,84,89,95,37,86,15,85,36,41,29,11,2,114,4,48,25,NA,3,69,85,7,11,3,20,2,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA
26065,"Los Angeles County, CA, USA","California, USA",United States,"33.994220196328, -118.4815621376",beach,2017-09-16,Heal the Bay - Venice,52,7,59,413,44,1393,214,58,22,184,86,26,63,14,17,10,3,6,23,37,56,5,10,NA,NA,1,4,NA,39,2,12,9,NA,NA,9,43,3,50,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
26073,"Los Angeles County, CA, USA","California, USA",United States,"34.036870926944, -118.54016304016",beach,2017-09-16,Heal the Bay - Will Rogers South,125,12,137,695,74,1107,1167,55,117,368,120,166,291,58,43,21,17,35,50,66,65,21,49,NA,4,3,14,3,91,16,144,10,NA,3,56,35,10,20,4,2,1,NA,NA,3,6,1,NA,NA,NA,NA,NA,NA
23220,"Los Angeles County, CA, USA","California, USA",United States,"34.03871, -118.58236",beach,2017-09-16,Heal the bay topanga,3,0,3,13.44,NA,179,34,8,6,12,NA,NA,5,1,8,8,1,10,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22797,"Los Angeles County, CA, USA","California, USA",United States,"33.93252, -118.43755",beach,2017-09-16,Hmsa Key Club 1,4,0,4,9.97,NA,10,5,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22668,"Los Angeles County, CA, USA","California, USA",United States,"33.99958, -118.4844",beach,2017-09-16,Jams group,2,0,2,3.03,NA,31,12,2,NA,4,NA,NA,4,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22659,"Los Angeles County, CA, USA","California, USA",United States,"33.99892, -118.48466",beach,2017-09-16,Jams NJHS,1,0,1,7.06,NA,44,11,2,NA,6,NA,1,4,1,6,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22644,"Los Angeles County, CA, USA","California, USA",United States,"33.9985, -118.48539",beach,2017-09-16,JAMS NJHS,4,0,4,2.14,NA,21,2,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22572,"Los Angeles County, CA, USA","California, USA",United States,"34.00163, -118.4866",beach,2017-09-16,JAMS NJHS,1,0,1,1.4,NA,22,6,NA,NA,NA,NA,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22651,"Los Angeles County, CA, USA","California, USA",United States,"33.99863, -118.48453",beach,2017-09-16,Jams NJHS,4,0,4,3.17,NA,30,3,NA,NA,4,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23014,"Los Angeles County, CA, USA","California, USA",United States,"33.93251, -118.4374",beach,2017-09-16,Japan Business Association Southern California,3,0,3,16.52,NA,3,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23461,"Los Angeles County, CA, USA","California, USA",United States,"33.93251, -118.4374",beach,2017-09-16,Japan Business Association Southern California,3,0,3,16.52,NA,3,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
