cleanup_id,zone,state,country,gps,cleanup_type,cleanup_date,group_name,adults,children,people,pounds,number_of_bags,cigarette_butts,food_wrappers_candy_chips_etc,take_out_away_containers_plastic,take_out_away_containers_foam,bottle_caps_plastic,bottle_caps_metal,lids_plastic,straws_stirrers,forks_knives_spoons,beverage_bottles_plastic,beverage_bottles_glass,beverage_cans,grocery_bags_plastic,other_plastic_bags,paper_bags,cups_plates_paper,cups_plates_plastic,cups_plates_foam,fishing_buoys_pots_traps,fishing_net_pieces,fishing_line_1_yard_meter_1_piece,rope_1_yard_meter_1_piece,x6_pack_holders,other_plastic_foam_packaging,other_plastic_bottles_oil_bleach_etc,strapping_bands,tobacco_packaging_wrap,beverages_sachets,appliances_refrigerators_washers_etc,balloons,cigar_tips,cigarette_lighters,construction_materials,fireworks,tires,toys,e_cigarettes,other_tobacco_packaging_lighter_etc,condoms,diapers,syringes,tampons_tampon_applicators,gloves_masks_ppe,foam_dock_pieces,electronic_waste_phones_batteries,cotton_bud_sticks_swabs,clothing_shoes
8072,"Contra Costa County, CA, USA","California, USA",United States,"37.974969827995, -122.3474407196",beach,2016-09-17,Golden Gate Audobon Society,280,0,280,200,280,20,1500,30,15,55,25,15,150,65,75,50,55,35,40,25,35,30,25,NA,NA,NA,2,2,25,3,NA,20,NA,NA,3,20,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8074,"Contra Costa County, CA, USA","California, USA",United States,"37.977747665857, -121.90017700195",beach,2016-09-17,Save Mount Diablo,24,0,24,108,40,495,353,66,25,70,20,70,42,9,86,13,44,8,262,195,50,106,19,1,4,NA,2,3,52,26,17,40,NA,1,14,11,2,129,2,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
8061,"Contra Costa County, CA, USA","California, USA",United States,"37.907487122321, -122.34375",beach,2016-09-17,The Watershed Project/Contra Costa County Supervisor John Gioia,400,0,400,1000,500,791,1448,119,139,1112,96,240,623,66,517,206,91,193,312,26,42,140,110,21,22,49,38,9,413,44,21,93,NA,5,15,242,35,110,6,9,NA,NA,NA,21,2,29,5,NA,NA,NA,NA,NA
8069,"Contra Costa County, CA, USA","California, USA",United States,"37.95867363072, -122.37379074097",beach,2016-09-17,Urban Tilth,22,0,22,354,60,93,124,20,30,18,23,15,6,2,13,5,20,8,26,16,23,3,22,NA,NA,NA,1,2,66,14,2,1,NA,24,4,6,1,3,1,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
8070,"Contra Costa County, CA, USA","California, USA",United States,"37.931909432988, -122.34696865082",beach,2016-09-17,Yes Families Nature to Neighborhoods,10,0,10,150,25,100,50,25,10,20,25,10,10,4,10,15,12,20,10,15,13,17,15,NA,NA,NA,NA,2,NA,1,NA,7,NA,NA,NA,4,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5208,"Contra Costa County, CA, USA","California, USA",United States,"37.99953, -122.11",beach,2016-09-17,NA,1,0,1,13.98,NA,1,31,27,2,14,NA,10,NA,6,16,2,25,40,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5538,"Fresno County, CA, USA","California, USA",United States,"36.994772397187, -119.70448722714",beach,2016-09-17,Great Sierra River Cleanup,6,0,6,180,13,112,76,27,2,10,38,2,10,8,15,27,5,1,3,6,2,1,1,6,NA,NA,37,1,7,NA,2,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5215,"Humboldt County, CA, USA","California, USA",United States,"41.06035, -124.14301",beach,2016-09-17,BLM Arcata Field Office,2,0,2,8.36,NA,17,9,NA,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5153,"Humboldt County, CA, USA","California, USA",United States,"40.74026, -124.19612",beach,2016-09-17,CCD.    King Salmon,2,0,2,40,NA,185,20,4,1,8,NA,14,7,2,1,2,18,16,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5188,"Humboldt County, CA, USA","California, USA",United States,"40.7891, -124.17596",beach,2016-09-17,Humboldt Baykeepet,30,0,30,42.12,NA,7,12,37,9,1,NA,4,4,7,21,24,48,12,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4826,"Humboldt County, CA, USA","California, USA",United States,"40.76066, -124.22209",beach,2016-09-17,Kiana Miller,1,0,1,3.37,NA,2,3,5,NA,6,NA,NA,2,NA,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050,"Humboldt County, CA, USA","California, USA",United States,"41.04019, -124.11969",beach,2016-09-17,Lufenholtz Beach,2,0,2,23.01,NA,63,10,1,NA,5,NA,NA,NA,2,10,2,8,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101441,"Humboldt County, CA, USA","California, USA",United States,"40.865555066784, -124.14911058932",beach,2016-09-17,NEC CCD 2016,8,2,10,300,30,505,74,15,16,39,54,28,17,6,40,42,24,32,33,13,25,16,3,NA,3,22,5,NA,29,7,12,21,NA,NA,3,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101609,"Humboldt County, CA, USA","California, USA",United States,"41.040670774328, -124.1201344612",beach,2016-09-17,NEC CCD 2016,20,0,20,80,7,540,55,50,NA,57,50,8,6,7,12,15,36,7,31,15,62,10,16,14,8,24,24,NA,36,4,10,12,NA,NA,NA,2,4,2,3,2,NA,NA,NA,4,3,4,5,NA,NA,NA,NA,NA
